ID	periodo	temp	tipo 
919	0.0006	18	inspecionando
920	0.0001	27	inspecionando
921	0.0000	23	inspecionando
923	0.0000	23	inspecionando
930	0.0002	24	inspecionando
939	0.0023	24	inspecionando
941	0.0001	23	inspecionando
947	0.0003	27	inspecionando
951	0.0016	25	inspecionando
952	0.0011	33	inspecionando
954	0.0002	25	inspecionando
957	0.0004	25	inspecionando
962	0.0018	24	inspecionando
964	0.0026	25	inspecionando
966	0.0003	23	inspecionando
972	0.0004	25	inspecionando
974	0.0033	18	inspecionando
975	0.0003	15	inspecionando
986	0.0003	17	inspecionando
987	0.0000	17	inspecionando
988	0.0001	17	inspecionando
989	0.0006	35	inspecionando
991	0.0003	18	inspecionando
992	0.0003	18	inspecionando
998	0.0014	20	inspecionando
1005	0.0018	36	inspecionando
1020	0.0009	16	inspecionando
1021	0.0002	18	inspecionando
1032	0.0000	21	inspecionando
1039	0.0003	23	inspecionando
1040	0.0011	16	inspecionando
1047	0.0002	18	inspecionando
1048	0.0001	16	inspecionando
1049	0.0001	15	inspecionando
1053	0.0000	22	inspecionando
1063	0.0000	24	inspecionando
1065	0.0006	19	inspecionando
1069	0.0003	24	inspecionando
1071	0.0033	22	inspecionando
1077	0.0019	29	inspecionando
1085	0.0003	25	inspecionando
1090	0.0007	29	inspecionando
1093	0.0000	23	inspecionando
1095	0.0003	25	inspecionando
1098	0.0002	24	inspecionando
1102	0.0003	32	inspecionando
1103	0.0001	30	inspecionando
1104	0.0020	23	inspecionando
1105	0.0003	22	inspecionando
1108	0.0000	25	inspecionando
1109	0.0000	24	inspecionando
1112	0.0001	21	inspecionando
1115	0.0002	22	inspecionando
1116	0.0003	19	inspecionando
1119	0.0002	23	inspecionando
1120	0.0001	27	inspecionando
1122	0.0000	28	inspecionando
1123	0.0008	25	inspecionando
1132	0.0001	25	inspecionando
1133	0.0002	23	inspecionando
1134	0.0003	24	inspecionando
1135	0.0005	27	inspecionando
1136	0.0002	23	inspecionando
1143	0.0009	24	inspecionando
1144	0.0003	24	inspecionando
1148	0.0000	22	inspecionando
1149	0.0001	24	inspecionando
1152	0.0001	23	inspecionando
1158	0.0003	25	inspecionando
42	0.0083	28	descanso
48	0.0146	20	descanso
71	0.0065	27	descanso
99	0.0125	20	descanso
100	0.0063	20	descanso
102	0.0088	22	descanso
103	0.0226	19	descanso
112	0.0157	19	descanso
113	0.0217	20	descanso
130	0.0335	32	descanso
137	0.0046	21	descanso
175	0.0144	19	descanso
